model,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,car_age
 A1,9.259225769705994,Manual,9.813179839504594,Petrol,95.0,67.3,1.0,Audi,1.791759469228055
 Q2,9.60245002503719,Automatic,10.073863038311682,Diesel,145.0,68.9,1.6,Audi,1.6094379124341003
 A6,9.392745258631441,Automatic,11.152579505377,Diesel,95.0,61.4,2.0,Audi,1.791759469228055
 A6,9.99884318585288,Automatic,10.291399501396704,Diesel,145.0,61.4,2.0,Audi,1.3862943611198906
 Q5,9.787009914477434,Automatic,11.011257778989004,Diesel,175.0,47.1,2.0,Audi,1.791759469228055
 A6,9.893487720457795,Automatic,10.64713771526918,Diesel,95.0,61.4,2.0,Audi,1.6094379124341003
 A7,9.87822102528824,Automatic,10.929081019300734,Diesel,175.0,44.8,3.0,Audi,2.0794415416798357
 A1,9.19023970026918,Manual,10.504053326800506,Diesel,95.0,76.3,1.6,Audi,1.791759469228055
 A3,9.648659816955295,Manual,10.141598530972125,Petrol,95.0,57.6,1.4,Audi,1.791759469228055
 A4,9.729193687429403,Automatic,10.581241868488592,Diesel,145.0,67.3,2.0,Audi,1.6094379124341003
 A3,9.350189267092581,Manual,11.069883092506698,Diesel,95.0,67.3,2.0,Audi,1.6094379124341003
 A1,9.401043372798053,Manual,10.804095957008176,Petrol,145.0,55.4,1.4,Audi,1.6094379124341003
 A1,9.44943600950432,Manual,10.210236687705134,Diesel,95.0,76.3,1.6,Audi,1.6094379124341003
 A4,9.367429587218957,Manual,10.353830419422378,Diesel,125.0,58.9,2.0,Audi,2.0794415416798357
 A5,9.350189267092581,Automatic,11.04562218649336,Diesel,145.0,53.3,2.0,Audi,1.9459101490553132
 A4,9.76428295481558,Manual,9.21054035197885,Petrol,145.0,51.4,1.4,Audi,1.6094379124341003
 A6,9.680406499268875,Automatic,10.869425224299697,Diesel,95.0,61.4,2.0,Audi,1.791759469228055
 A4,9.48044384215367,Manual,11.052444352305907,Petrol,125.0,49.6,2.0,Audi,1.791759469228055
 A6,9.595670797663967,Manual,11.152579505377,Diesel,95.0,61.4,2.0,Audi,1.791759469228055
 A5,9.957075711706057,Automatic,10.397329771261706,Diesel,145.0,70.6,2.0,Audi,1.6094379124341003
 Q3,10.102379394048045,Automatic,9.495820020872763,Petrol,145.0,40.4,2.0,Audi,1.3862943611198906
 A3,9.839002363309719,Manual,7.920446505142607,Petrol,145.0,44.8,1.5,Audi,1.0986122886681098
 Q3,9.711176264112805,Manual,10.056551928262964,Diesel,160.0,49.6,2.0,Audi,1.791759469228055
 A1,9.305741456739435,Manual,10.450220714640537,Petrol,150.0,67.3,1.0,Audi,1.6094379124341003
 A3,9.503084610020228,Manual,10.14478531443038,Diesel,150.0,68.9,1.6,Audi,1.6094379124341003
 Q2,9.90353755128617,Manual,9.406564833939129,Petrol,150.0,50.4,1.4,Audi,1.3862943611198906
 A6,9.642187721358466,Automatic,10.053544148742807,Diesel,95.0,67.3,2.0,Audi,1.9459101490553132
 Q3,9.648659816955295,Automatic,9.381263883817768,Diesel,160.0,50.4,2.0,Audi,1.791759469228055
 A4,9.60245002503719,Manual,9.962982124321767,Diesel,145.0,72.4,2.0,Audi,1.6094379124341003
 A6,9.746892220313054,Automatic,10.376112742486816,Diesel,95.0,61.4,2.0,Audi,1.9459101490553132
 Q5,10.156228740289281,Automatic,9.743318800383307,Diesel,145.0,55.4,2.0,Audi,1.6094379124341003
 A4,9.371693622333941,Manual,11.152579505377,Diesel,95.0,74.3,2.0,Audi,1.791759469228055
 A1,9.32375833901174,Manual,10.458090798648007,Petrol,95.0,67.3,1.0,Audi,1.6094379124341003
 A1,9.45727857185611,Manual,9.92093446613985,Petrol,95.0,55.4,1.4,Audi,1.6094379124341003
 A4,9.680406499268875,Automatic,10.968698164570208,Petrol,145.0,52.3,2.0,Audi,1.6094379124341003
 A5,9.90353755128617,Automatic,10.709606211755235,Diesel,145.0,62.8,2.0,Audi,1.6094379124341003
 A4,9.388570235866881,Manual,11.012132676904612,Diesel,95.0,67.3,2.0,Audi,2.0794415416798357
 A4,9.148571345578551,Manual,10.596609732783568,Diesel,95.0,65.7,2.0,Audi,2.1972245773362196
 A4,9.90353755128617,Automatic,9.945253101768596,Diesel,95.0,65.7,2.0,Audi,1.6094379124341003
 A6,9.495594499353297,Manual,11.152579505377,Diesel,95.0,64.2,2.0,Audi,1.791759469228055
 A6,9.825580063659602,Automatic,10.278355986666824,Diesel,95.0,64.2,2.0,Audi,1.6094379124341003
 A3,9.024131268455035,Manual,11.152579505377,Diesel,95.0,74.3,1.6,Audi,2.1972245773362196
 A1,9.510519035757246,Manual,10.033682134193954,Petrol,95.0,58.9,1.4,Audi,1.791759469228055
 A5,9.893487720457795,Manual,9.944293546928382,Petrol,150.0,47.1,2.0,Audi,1.3862943611198906
 Q3,9.642187721358466,Automatic,10.281821243252258,Diesel,145.0,55.4,2.0,Audi,1.791759469228055
 A4,9.539716058977092,Manual,9.57449725626267,Petrol,145.0,53.3,1.4,Audi,1.6094379124341003
 A4,9.65509029374725,Manual,9.907031266159493,Petrol,145.0,52.3,1.4,Audi,1.3862943611198906
 A6,9.692828247710418,Automatic,11.152579505377,Diesel,95.0,62.8,3.0,Audi,1.791759469228055
 A1,9.268703615273097,Manual,9.972500423823082,Petrol,95.0,67.3,1.0,Audi,1.791759469228055
 A4,9.568084743872936,Manual,10.72515986528436,Diesel,95.0,70.6,2.0,Audi,1.791759469228055
 Q3,9.595670797663967,Manual,10.395283250395313,Diesel,95.0,60.1,2.0,Audi,1.791759469228055
 Q3,9.857495968685136,Automatic,10.650412438776545,Petrol,145.0,42.2,2.0,Audi,1.3862943611198906
 A4,9.803722464346553,Manual,9.757247170313121,Petrol,145.0,48.7,1.4,Audi,1.6094379124341003
 A1,9.34145634983372,Manual,10.292687768178258,Petrol,95.0,67.3,1.0,Audi,1.6094379124341003
 A3,9.358846580275406,Manual,10.684256340523897,Diesel,95.0,67.3,2.0,Audi,2.0794415416798357
 A4,9.758519582283522,Automatic,10.719427421682939,Diesel,145.0,62.8,2.0,Audi,1.6094379124341003
 A6,9.70509758756311,Manual,10.725291765304336,Diesel,95.0,61.4,2.0,Audi,1.6094379124341003
 Q5,9.746892220313054,Manual,10.864139608109037,Petrol,175.0,37.7,2.0,Audi,2.0794415416798357
 A3,9.350015354048665,Semi-Auto,10.616633419602762,Petrol,125.0,50.4,1.8,Audi,2.0794415416798357
 Q3,9.367258647047601,Manual,11.096803776673536,Diesel,160.0,49.6,2.0,Audi,2.0794415416798357
 Q5,9.85214162518454,Semi-Auto,10.771616922503265,Petrol,175.0,35.8,2.0,Audi,2.0794415416798357
 Q5,10.146394514691288,Semi-Auto,10.238136699767878,Petrol,145.0,40.9,2.0,Audi,1.6094379124341003
 A4,9.259035293514941,Manual,10.347211372761382,Petrol,145.0,49.6,1.8,Audi,2.1972245773362196
 A4,9.158941808890182,Automatic,10.645710570742667,Petrol,145.0,47.1,2.0,Audi,2.1972245773362196
 A6,9.903437551286085,Semi-Auto,10.935176255838662,Diesel,160.0,50.4,3.0,Audi,1.9459101490553132
 A6,9.729074639810214,Semi-Auto,11.09492208016396,Diesel,125.0,61.4,2.0,Audi,1.9459101490553132
 A6,10.085767441795337,Semi-Auto,11.056966742645077,Diesel,145.0,45.6,3.0,Audi,1.6094379124341003
 Q5,10.515356887954205,Semi-Auto,10.434468682505683,Petrol,145.0,34.0,3.0,Audi,1.6094379124341003
 A5,9.546741177474825,Semi-Auto,10.861553424542905,Diesel,160.0,49.6,3.0,Audi,2.0794415416798357
 A4,9.680093969966709,Manual,10.565866199424438,Diesel,145.0,55.4,2.0,Audi,1.9459101490553132
 A1,9.510148624225804,Manual,10.450307536525495,Petrol,150.0,55.4,1.4,Audi,1.6094379124341003
 Q5,10.341290768556236,Semi-Auto,9.770127573790836,Petrol,145.0,40.4,2.0,Audi,1.6094379124341003
 TT,10.291670853409766,Automatic,8.006700845440367,Petrol,145.0,40.9,2.0,Audi,1.0986122886681098
 A6,9.740144754339955,Manual,10.452966420783197,Diesel,95.0,61.4,2.0,Audi,1.9459101490553132
 Q5,10.18437157048691,Semi-Auto,9.798182590890704,Diesel,150.0,56.5,2.0,Audi,1.6094379124341003
 Q3,10.085225605791667,Semi-Auto,9.746014693711563,Petrol,150.0,47.9,1.4,Audi,1.3862943611198906
 A1,9.43236329562169,Manual,10.782429418257793,Diesel,95.0,72.4,1.6,Audi,1.6094379124341003
 Q5,10.020648172309706,Semi-Auto,10.556385491188388,Diesel,175.0,47.1,2.0,Audi,1.9459101490553132
 A5,9.711055051991444,Manual,10.750170938458275,Diesel,95.0,61.4,2.0,Audi,1.9459101490553132
 A3,9.392578591964389,Manual,10.105162289234684,Diesel,95.0,74.3,1.6,Audi,1.791759469228055
 Q5,10.126070946991774,Automatic,10.286843375056192,Diesel,175.0,47.1,2.0,Audi,1.6094379124341003
 A3,9.79734895647446,Manual,9.041921720351219,Diesel,145.0,51.4,1.6,Audi,1.0986122886681098
 A5,9.92749700499648,Manual,10.453918430894479,Diesel,95.0,65.7,2.0,Audi,1.6094379124341003
 A3,9.740144754339955,Semi-Auto,10.080000605922026,Petrol,145.0,60.1,1.0,Audi,1.3862943611198906
 A4,10.341290768556236,Automatic,9.952753793839046,Petrol,145.0,35.8,3.0,Audi,1.3862943611198906
 A6,10.308485885054848,Automatic,7.540090320145325,Diesel,145.0,47.9,2.0,Audi,1.0986122886681098
 A6,10.239459664115659,Semi-Auto,6.535241271013659,Diesel,145.0,47.9,2.0,Audi,1.0986122886681098
